Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Jarvis,French Bulldog,,42.38030,-71.13870,West Cambridge
Darwin,Irish Setter,,42.37600,-71.09000,Wellington-Harrington
Mila,Mixed Breed,,42.37030,-71.09400,Wellington-Harrington
Hayden,Havanese,,42.38450,-71.11280,Baldwin
Willow,labradoodle,,42.37840,-71.13930,West Cambridge
Persy,Labradoodle,,42.39770,-71.12900,North Cambridge
Azu,Yorkipoo,,42.38270,-71.14100,West Cambridge
Annie,Australian Shepherd,,42.38430,-71.13470,West Cambridge
Griffey Maslan,Labradoodle,,42.38820,-71.13090,Neighborhood Nine
Samba,Mixed Breed,,42.39110,-71.12080,North Cambridge
Tonks,English Springer Spaniel,,42.38530,-71.12740,Neighborhood Nine
Finnegan,Carolina Dog,,42.38850,-71.12020,Neighborhood Nine
Snoopy ,Mixed Breed,,42.37720,-71.14880,West Cambridge
Luna,French Bulldog,,42.37430,-71.14740,West Cambridge
Cochiti,Tibetan Terrier,,42.37840,-71.14340,West Cambridge
FRED,POODLE,,42.37700,-71.14690,Strawberry Hill
Wally,Morkie,,42.37890,-71.15550,Strawberry Hill
Butch,Mixed Breed,,42.39590,-71.12990,North Cambridge
Goldie,Labrador retriever,,42.39490,-71.14020,North Cambridge
Pongo,Mixed Breed,,42.36090,-71.11020,Cambridgeport
Toffee,Maltipoo,,42.38720,-71.13050,Neighborhood Nine
Koda,Siberian Husky,,42.37240,-71.07210,East Cambridge
Milton,Goldendoodle,,42.36590,-71.08260,East Cambridge
Korra,Mixed Breed,,42.36880,-71.08480,East Cambridge
Noodles,Mixed Breed,,42.37590,-71.11140,Mid-Cambridge
Williston “Willie” James Oldham,Cavalier King Charles Spaniel,,42.38150,-71.13160,West Cambridge
Rosie Flynn,Goldendoodle,,42.38330,-71.14280,West Cambridge
Zorro,Mixed Breed,,42.39230,-71.15300,Cambridge Highlands
Maizey,Mixed Breed,,42.38520,-71.13060,Neighborhood Nine
Koba,American Staffordshire Terrier,,42.36900,-71.10400,The Port
MINNIE,Mix,,42.35840,-71.10500,Cambridgeport
MANNIE,BEAGLE,,42.37510,-71.12390,West Cambridge
Bibi,Poodle/Australian Shephard Mix,,42.38490,-71.12370,Neighborhood Nine
Jack,Mixed Breed,,42.37880,-71.12270,Neighborhood Nine
Charlie,Golden Retriever,,42.38540,-71.13210,Neighborhood Nine
Disco,Mixed Breed,,42.37070,-71.10530,Mid-Cambridge
Chestnut LeSoltis,Bernedoodle,,42.39880,-71.13430,North Cambridge
Buddy,Mixed Breed,,42.35580,-71.10570,Cambridgeport
Baxter,Mixed Breed,,42.38380,-71.12180,Neighborhood Nine
Piper,Mixed Breed,,42.38550,-71.12800,Neighborhood Nine
Moxie,Mountain Cur Mix,,42.37450,-71.12640,West Cambridge
Pedro,Miniature Schnauzer,,42.38850,-71.12800,Neighborhood Nine
Roxie,Labrador Retriever,,42.39220,-71.12630,North Cambridge
Juno,Golden Retriever,,42.37250,-71.09640,Wellington-Harrington
Pippy ,Mixed Breed,,42.39750,-71.12770,North Cambridge
Bear,Pomeranian,,42.38150,-71.13790,West Cambridge
Franny,Shep Mix,,42.38880,-71.11900,Neighborhood Nine
Luna,Mixed Breed,,42.37010,-71.11230,Riverside
Ruru,Mixed Breed,,42.38760,-71.12580,Neighborhood Nine
Grace,Mixed Breed,,42.38340,-71.11180,Baldwin
Brillo,Dachshund,,42.37020,-71.11810,Riverside
Rigby,Mixed Breed,,42.37090,-71.11290,Riverside
LATTE,Tea Cup Poodle,,42.37200,-71.07650,East Cambridge
Layla,Labradoodle,,42.39550,-71.14540,North Cambridge
Maple,Goldendoodle,,42.39890,-71.13140,North Cambridge
Clio,Mixed Breed,,42.38000,-71.13290,West Cambridge
Lucy,Mixed Breed,,42.39610,-71.13820,North Cambridge
Pippi,Welsh Terrier,,42.37000,-71.08400,East Cambridge
Jasper,Mixed Breed,,42.39620,-71.13060,North Cambridge
Bingley,Labrador Retriever,,42.38380,-71.12900,Neighborhood Nine
Kaito Nakajima,Portugese Water Dog,,42.35470,-71.10250,Area 2/MIT
Julius,Shiba Inu,,42.37520,-71.11520,Mid-Cambridge
Trixie,Labradoodle,,42.35680,-71.10740,Cambridgeport
Cooper,Mixed Breed,,42.39290,-71.14600,North Cambridge
Jacob,HAVANESE,,42.39250,-71.13400,North Cambridge
Duncan,Lab Mix,,42.36630,-71.08230,East Cambridge
Emi,Mixed Breed,,42.38040,-71.12240,Neighborhood Nine
ZEKE,Poodle,,42.38390,-71.11570,Baldwin
Mika,Mixed,,42.36700,-71.08450,East Cambridge
Franklin,Puggle,,42.37210,-71.09650,The Port
MAGNOLIA,TERRIER X,,42.39560,-71.13020,North Cambridge
Queen Sheba,Poodle,,42.39550,-71.13410,North Cambridge
Charlie,Mixed Breed,,42.36980,-71.10120,The Port
Yoshi,Goldendoodle,,42.39280,-71.12660,North Cambridge
COCO,German Shorthaired Pointer,,42.39910,-71.13250,North Cambridge
Otto,Dachshund,,42.36690,-71.10990,Riverside
Cecil,Mixed Breed,,42.39640,-71.13510,North Cambridge
Bodie,Goldendoodle,,42.38110,-71.12280,Neighborhood Nine
ZIGGY,MINIATURE  POODLE,,42.37920,-71.14240,West Cambridge
Mitzie,Austrailian Labradoodle,,42.40370,-71.13580,North Cambridge
Jackson Wyatt,German Short Haired Pointer,,42.38750,-71.13300,Neighborhood Nine
Annie,Mixed Breed,,42.36170,-71.11280,Cambridgeport
Westie,Golden Retriever,,42.38320,-71.12660,Neighborhood Nine
Mack,Cockapoo,,42.35540,-71.10900,Cambridgeport
Bucky aka Buckminster,Poodle,,42.38130,-71.13450,West Cambridge
georgia,Labradoodle,,42.37590,-71.12050,Neighborhood Nine
Maisy,Golden Retriever,,42.37060,-71.09540,The Port
ZOEY,Golden Doodle,,42.38860,-71.13790,Neighborhood Nine
Ranfo,Samoyed,,42.38740,-71.12770,Neighborhood Nine
Teagan,Mixed Breed,,42.38200,-71.11820,Baldwin
Zumi,Mixed Breed,,42.36870,-71.07570,East Cambridge
Roxy,Mixed Breed,,42.36440,-71.07470,East Cambridge
KILEY,Wheaton Terrier,,42.37900,-71.12250,Neighborhood Nine
Penny Fisher,Bernedoodle,,42.38090,-71.12110,Neighborhood Nine
Maximus,Golden Retreiver,,42.39720,-71.13700,North Cambridge
Walden,Mixed Breed,,42.35410,-71.11290,Cambridgeport
Greta,Soft Coated Wheaten Terrier,,42.38260,-71.11340,Baldwin
Whitney,Lab Coonhound Mix,,42.36350,-71.10560,Cambridgeport
Riley Soroca,Golden Retriever,,42.37590,-71.14880,Strawberry Hill
Rosie,Labrador Retriever,,42.37100,-71.10380,Mid-Cambridge
Maga,Shih Tzu Mix,,42.37010,-71.08090,East Cambridge
Nairobi,Rhodesian Ridgeback,,42.39490,-71.14020,North Cambridge
Clarence,Mixed Breed,,42.39370,-71.15960,Cambridge Highlands
Ozzy,Mixed Breed,,42.35370,-71.10560,Area 2/MIT
Lola,mini shnauzer,,42.37510,-71.10330,Mid-Cambridge
FARGO,MIXED,,42.38640,-71.12450,Neighborhood Nine
ALLI,Australian  Shepherd X,,42.38090,-71.13850,West Cambridge
Beau,French Bulldog,,42.39080,-71.14310,North Cambridge
TAXI,Cocker Spaniel,,42.38140,-71.14930,Strawberry Hill
Hank Aaron ,Mixed Breed,,42.37000,-71.09770,Wellington-Harrington
Pippi,Mixed Breed,,42.36320,-71.09760,The Port
griffin,Mixed Breed,,42.39010,-71.12650,Neighborhood Nine
Odin,Bernedoodle,,42.40370,-71.13450,North Cambridge
Pepper,Mixed Breed,,42.37220,-71.09250,Wellington-Harrington
"David ""Bowie"" Alvarez-Stowe",Cocker Spaniel,,42.37640,-71.10540,Mid-Cambridge
Lulu,Labrador Retriever,,42.38130,-71.13100,West Cambridge
ELLIE MAE,Puggle,,42.37260,-71.10800,Mid-Cambridge
MOXIE,Shih Tzu X,,42.38690,-71.13770,West Cambridge
Friday,Mixed Breed,,42.39460,-71.13680,North Cambridge
Scout,HAVANESE,,42.37670,-71.14090,West Cambridge
Tula,Labrabor Retriever,,42.38640,-71.15720,Strawberry Hill
Piper,Mixed Breed,,42.36590,-71.09050,Wellington-Harrington
Lila,Border Terrier Mix,,42.38890,-71.12870,Neighborhood Nine
Zoomer,Bernedoodle,,42.38150,-71.13250,West Cambridge
Cali,Weimaraner,,42.39460,-71.12400,North Cambridge
Miller,Border Collie,,42.35650,-71.10840,Cambridgeport
Harry,Australian Terrier,,42.37580,-71.13080,West Cambridge
BUDDY,Great Pyrenese X,,42.38700,-71.12730,Neighborhood Nine
TATOO,Beagle X,,42.38080,-71.11600,Baldwin
Ivy,Australian Shepherd,,42.37700,-71.12420,West Cambridge
Bruno,lab  retreiver,,42.38500,-71.12750,Neighborhood Nine
"Tasman (""Taz"")",Mixed Breed,,42.37430,-71.15120,Strawberry Hill
Oscar,Newfoundland,,42.39020,-71.12760,Neighborhood Nine
Mango,Labrador Retriever,,42.36870,-71.09770,The Port
Luna Levitt,Goldendoodle,,42.37920,-71.15050,Strawberry Hill
Niccolo,Dachshund,,42.37440,-71.14260,West Cambridge
Rowna,Cairn Terrier,,42.37810,-71.10610,Mid-Cambridge
Hobbs,Boxer,,42.35800,-71.10900,Cambridgeport
Otter,Mixed Breed,,42.39260,-71.13680,North Cambridge
Bessie,mixed,,42.37750,-71.14140,West Cambridge
Duncan,English Bulldog,,42.38160,-71.13630,West Cambridge
Pemi,Mixed Breed,,42.37490,-71.10200,Mid-Cambridge
Cousy,Beagle,,42.36970,-71.07170,East Cambridge
Dipper,YORKSHIRE TERRIER,,42.39410,-71.13640,North Cambridge
Apapacho (Pacho) ,Mixed Breed,,42.37820,-71.12420,Neighborhood Nine
Lemon,Dachshund,,42.39620,-71.15550,Cambridge Highlands
Thalia,Labrador Retriever,,42.40260,-71.13030,North Cambridge
Winnie,Mixed Breed,,42.39240,-71.12290,North Cambridge
Sydney Salguero,Labraddoodle,,42.37460,-71.14990,Strawberry Hill
Rex,Pembroke Welsh Corgi,,42.38590,-71.14080,West Cambridge
Rosie,Goldendoodle,,42.36980,-71.08120,East Cambridge
Taco,Mixed Breed,,42.36240,-71.10220,Cambridgeport
Glitch,Australian Shepherd,,42.36610,-71.10760,Mid-Cambridge
Olly (Oliver),Australian Shepherd,,42.35450,-71.10720,Cambridgeport
Pepper,Mixed Breed,,42.39250,-71.13280,North Cambridge
Indiana,Mixed Breed,,42.37070,-71.09980,Wellington-Harrington
Poppy Klein,Bernese Mountain Dog,,42.38740,-71.13250,Neighborhood Nine
Jax,German Shepard / Lab,,42.39530,-71.12970,North Cambridge
Benny,Yorkshire  Terrier,,42.35980,-71.10510,Cambridgeport
Mosey,Border Collie ,,42.39570,-71.14950,North Cambridge
Romeo,POMERANIAN,,42.38310,-71.12010,Baldwin
Tau,Mixed Breed,,42.39450,-71.13740,North Cambridge
Ziggy Kobetis-Liang,BEAGLE,,42.36660,-71.10450,Mid-Cambridge
Noble,Pit mix,,42.36480,-71.11420,Riverside
Tucker,Mixed Breed,,42.37450,-71.10690,Mid-Cambridge
Kafka,Shiba Inu,,42.39950,-71.13110,North Cambridge
LuLu,Yorkipoo,,42.39570,-71.12960,North Cambridge
Luka,Labrador Retriever,,42.38260,-71.15280,Strawberry Hill
PARKER,Pointer X,,42.36580,-71.10680,Mid-Cambridge
Mishka,Portuguese Water Dog,,42.38450,-71.13390,Neighborhood Nine
Sengie,LABRADOODLE,,42.37980,-71.12950,West Cambridge
ROSCO,PAPILLON,,42.38450,-71.12200,Neighborhood Nine
LEONARD,Bichon Frise,,42.39850,-71.13200,North Cambridge
CHUI,MASTIFF,,42.37190,-71.13960,West Cambridge
Guava,Mixed Breed,,42.37460,-71.10700,Mid-Cambridge
